0 4 [0,sz=4]port 0 not in idle slot
1 4 [1,sz=4]port 1 not in idle slot
2 4 [2,sz=4]port 2 not in idle slot
3 4 [3,sz=4]port 3 not in idle slot
4 4 [4,sz=4]port 4 not in idle slot
5 4 [5,sz=4]port 5 not in idle slot
6 4 [6,sz=4]port 6 not in idle slot
7 4 [7,sz=4]port 7 not in idle slot
8 4 [8,sz=4]port 8 not in idle slot
9 4 [9,sz=4]port 9 not in idle slot
10 4 [10,sz=4]port 10 not in idle slot
11 4 [11,sz=4]port 11 not in idle slot
12 4 [12,sz=4]port 12 not in idle slot
13 4 [13,sz=4]port 13 not in idle slot
14 52 [14,sz=52]port appears in schedule 0
15 1 [15,sz=1]no underrun 0
16 6 [16,sz=6]min rep rate (port 0) = 1
17 6 [17,sz=6]min rep rate (port 0) = 2
18 6 [18,sz=6]min rep rate (port 0) = 3
19 1 [19,sz=1]no underrun 0
20 6 [20,sz=6]min rep rate (port 0) = 1
21 6 [21,sz=6]min rep rate (port 0) = 2
22 6 [22,sz=6]min rep rate (port 0) = 3
23 1 [23,sz=1]no underrun 0
24 6 [24,sz=6]min rep rate (port 0) = 1
25 6 [25,sz=6]min rep rate (port 0) = 2
26 6 [26,sz=6]min rep rate (port 0) = 3
27 1 [27,sz=1]no underrun 0
28 6 [28,sz=6]min rep rate (port 0) = 1
29 6 [29,sz=6]min rep rate (port 0) = 2
30 6 [30,sz=6]min rep rate (port 0) = 3
31 1 [31,sz=1]no underrun 0
32 6 [32,sz=6]min rep rate (port 0) = 1
33 6 [33,sz=6]min rep rate (port 0) = 2
34 6 [34,sz=6]min rep rate (port 0) = 3
35 1 [35,sz=1]no underrun 0
36 6 [36,sz=6]min rep rate (port 0) = 1
37 6 [37,sz=6]min rep rate (port 0) = 2
38 6 [38,sz=6]min rep rate (port 0) = 3
39 1 [39,sz=1]no underrun 0
40 6 [40,sz=6]min rep rate (port 0) = 1
41 6 [41,sz=6]min rep rate (port 0) = 2
42 6 [42,sz=6]min rep rate (port 0) = 3
43 1 [43,sz=1]no underrun 0
44 6 [44,sz=6]min rep rate (port 0) = 1
45 6 [45,sz=6]min rep rate (port 0) = 2
46 6 [46,sz=6]min rep rate (port 0) = 3
47 1 [47,sz=1]no underrun 0
48 6 [48,sz=6]min rep rate (port 0) = 1
49 6 [49,sz=6]min rep rate (port 0) = 2
50 6 [50,sz=6]min rep rate (port 0) = 3
51 1 [51,sz=1]no underrun 0
52 6 [52,sz=6]min rep rate (port 0) = 1
53 6 [53,sz=6]min rep rate (port 0) = 2
54 6 [54,sz=6]min rep rate (port 0) = 3
55 1 [55,sz=1]no underrun 0
56 6 [56,sz=6]min rep rate (port 0) = 1
57 6 [57,sz=6]min rep rate (port 0) = 2
58 6 [58,sz=6]min rep rate (port 0) = 3
59 1 [59,sz=1]no underrun 0
60 6 [60,sz=6]min rep rate (port 0) = 1
61 6 [61,sz=6]min rep rate (port 0) = 2
62 6 [62,sz=6]min rep rate (port 0) = 3
63 1 [63,sz=1]no underrun 0
64 6 [64,sz=6]min rep rate (port 0) = 1
65 6 [65,sz=6]min rep rate (port 0) = 2
66 6 [66,sz=6]min rep rate (port 0) = 3
67 1 [67,sz=1]no underrun 0
68 6 [68,sz=6]min rep rate (port 0) = 1
69 6 [69,sz=6]min rep rate (port 0) = 2
70 6 [70,sz=6]min rep rate (port 0) = 3
71 1 [71,sz=1]no underrun 0
72 6 [72,sz=6]min rep rate (port 0) = 1
73 6 [73,sz=6]min rep rate (port 0) = 2
74 6 [74,sz=6]min rep rate (port 0) = 3
75 1 [75,sz=1]no underrun 0
76 6 [76,sz=6]min rep rate (port 0) = 1
77 6 [77,sz=6]min rep rate (port 0) = 2
78 6 [78,sz=6]min rep rate (port 0) = 3
79 1 [79,sz=1]no underrun 0
80 6 [80,sz=6]min rep rate (port 0) = 1
81 6 [81,sz=6]min rep rate (port 0) = 2
82 6 [82,sz=6]min rep rate (port 0) = 3
83 1 [83,sz=1]no underrun 0
84 6 [84,sz=6]min rep rate (port 0) = 1
85 6 [85,sz=6]min rep rate (port 0) = 2
86 6 [86,sz=6]min rep rate (port 0) = 3
87 1 [87,sz=1]no underrun 0
88 6 [88,sz=6]min rep rate (port 0) = 1
89 6 [89,sz=6]min rep rate (port 0) = 2
90 6 [90,sz=6]min rep rate (port 0) = 3
91 1 [91,sz=1]no underrun 0
92 6 [92,sz=6]min rep rate (port 0) = 1
93 6 [93,sz=6]min rep rate (port 0) = 2
94 6 [94,sz=6]min rep rate (port 0) = 3
95 1 [95,sz=1]no underrun 0
96 6 [96,sz=6]min rep rate (port 0) = 1
97 6 [97,sz=6]min rep rate (port 0) = 2
98 6 [98,sz=6]min rep rate (port 0) = 3
99 1 [99,sz=1]no underrun 0
100 6 [100,sz=6]min rep rate (port 0) = 1
101 6 [101,sz=6]min rep rate (port 0) = 2
102 6 [102,sz=6]min rep rate (port 0) = 3
103 1 [103,sz=1]no underrun 0
104 6 [104,sz=6]min rep rate (port 0) = 1
105 6 [105,sz=6]min rep rate (port 0) = 2
106 6 [106,sz=6]min rep rate (port 0) = 3
107 1 [107,sz=1]no underrun 0
108 6 [108,sz=6]min rep rate (port 0) = 1
109 6 [109,sz=6]min rep rate (port 0) = 2
110 6 [110,sz=6]min rep rate (port 0) = 3
111 1 [111,sz=1]no underrun 0
112 6 [112,sz=6]min rep rate (port 0) = 1
113 6 [113,sz=6]min rep rate (port 0) = 2
114 6 [114,sz=6]min rep rate (port 0) = 3
115 1 [115,sz=1]no underrun 0
116 6 [116,sz=6]min rep rate (port 0) = 1
117 6 [117,sz=6]min rep rate (port 0) = 2
118 6 [118,sz=6]min rep rate (port 0) = 3
119 6 [119,sz=6]sp=0 ruling out slots (0 and 1)
120 6 [120,sz=6]sp=0 ruling out slots (0 and 2)
121 6 [121,sz=6]sp=0 ruling out slots (0 and 3)
122 6 [122,sz=6]sp=0 ruling out slots (0 and 4)
123 6 [123,sz=6]sp=0 ruling out slots (0 and 5)
124 6 [124,sz=6]sp=0 ruling out slots (0 and 6)
125 6 [125,sz=6]sp=0 ruling out slots (0 and 7)
126 6 [126,sz=6]sp=0 ruling out slots (0 and 8)
127 6 [127,sz=6]sp=0 ruling out slots (0 and 9)
128 6 [128,sz=6]sp=0 ruling out slots (0 and 10)
129 6 [129,sz=6]sp=0 ruling out slots (0 and 11)
130 6 [130,sz=6]sp=0 ruling out slots (1 and 2)
131 6 [131,sz=6]sp=0 ruling out slots (1 and 3)
132 6 [132,sz=6]sp=0 ruling out slots (1 and 4)
133 6 [133,sz=6]sp=0 ruling out slots (1 and 5)
134 6 [134,sz=6]sp=0 ruling out slots (1 and 6)
135 6 [135,sz=6]sp=0 ruling out slots (1 and 7)
136 6 [136,sz=6]sp=0 ruling out slots (1 and 8)
137 6 [137,sz=6]sp=0 ruling out slots (1 and 9)
138 6 [138,sz=6]sp=0 ruling out slots (1 and 10)
139 6 [139,sz=6]sp=0 ruling out slots (1 and 11)
140 6 [140,sz=6]sp=0 ruling out slots (1 and 12)
141 6 [141,sz=6]sp=0 ruling out slots (2 and 3)
142 6 [142,sz=6]sp=0 ruling out slots (2 and 4)
143 6 [143,sz=6]sp=0 ruling out slots (2 and 5)
144 6 [144,sz=6]sp=0 ruling out slots (2 and 6)
145 6 [145,sz=6]sp=0 ruling out slots (2 and 7)
146 6 [146,sz=6]sp=0 ruling out slots (2 and 8)
147 6 [147,sz=6]sp=0 ruling out slots (2 and 9)
148 6 [148,sz=6]sp=0 ruling out slots (2 and 10)
149 6 [149,sz=6]sp=0 ruling out slots (2 and 11)
150 6 [150,sz=6]sp=0 ruling out slots (2 and 12)
151 6 [151,sz=6]sp=0 ruling out slots (2 and 13)
152 6 [152,sz=6]sp=0 ruling out slots (3 and 4)
153 6 [153,sz=6]sp=0 ruling out slots (3 and 5)
154 6 [154,sz=6]sp=0 ruling out slots (3 and 6)
155 6 [155,sz=6]sp=0 ruling out slots (3 and 7)
156 6 [156,sz=6]sp=0 ruling out slots (3 and 8)
157 6 [157,sz=6]sp=0 ruling out slots (3 and 9)
158 6 [158,sz=6]sp=0 ruling out slots (3 and 10)
159 6 [159,sz=6]sp=0 ruling out slots (3 and 11)
160 6 [160,sz=6]sp=0 ruling out slots (3 and 12)
161 6 [161,sz=6]sp=0 ruling out slots (3 and 13)
162 6 [162,sz=6]sp=0 ruling out slots (3 and 14)
163 6 [163,sz=6]sp=0 ruling out slots (4 and 5)
164 6 [164,sz=6]sp=0 ruling out slots (4 and 6)
165 6 [165,sz=6]sp=0 ruling out slots (4 and 7)
166 6 [166,sz=6]sp=0 ruling out slots (4 and 8)
167 6 [167,sz=6]sp=0 ruling out slots (4 and 9)
168 6 [168,sz=6]sp=0 ruling out slots (4 and 10)
169 6 [169,sz=6]sp=0 ruling out slots (4 and 11)
170 6 [170,sz=6]sp=0 ruling out slots (4 and 12)
171 6 [171,sz=6]sp=0 ruling out slots (4 and 13)
172 6 [172,sz=6]sp=0 ruling out slots (4 and 14)
173 6 [173,sz=6]sp=0 ruling out slots (4 and 15)
174 6 [174,sz=6]sp=0 ruling out slots (5 and 6)
175 6 [175,sz=6]sp=0 ruling out slots (5 and 7)
176 6 [176,sz=6]sp=0 ruling out slots (5 and 8)
177 6 [177,sz=6]sp=0 ruling out slots (5 and 9)
178 6 [178,sz=6]sp=0 ruling out slots (5 and 10)
179 6 [179,sz=6]sp=0 ruling out slots (5 and 11)
180 6 [180,sz=6]sp=0 ruling out slots (5 and 12)
181 6 [181,sz=6]sp=0 ruling out slots (5 and 13)
182 6 [182,sz=6]sp=0 ruling out slots (5 and 14)
183 6 [183,sz=6]sp=0 ruling out slots (5 and 15)
184 6 [184,sz=6]sp=0 ruling out slots (5 and 16)
185 6 [185,sz=6]sp=0 ruling out slots (6 and 7)
186 6 [186,sz=6]sp=0 ruling out slots (6 and 8)
187 6 [187,sz=6]sp=0 ruling out slots (6 and 9)
188 6 [188,sz=6]sp=0 ruling out slots (6 and 10)
189 6 [189,sz=6]sp=0 ruling out slots (6 and 11)
190 6 [190,sz=6]sp=0 ruling out slots (6 and 12)
191 6 [191,sz=6]sp=0 ruling out slots (6 and 13)
192 6 [192,sz=6]sp=0 ruling out slots (6 and 14)
193 6 [193,sz=6]sp=0 ruling out slots (6 and 15)
194 6 [194,sz=6]sp=0 ruling out slots (6 and 16)
195 6 [195,sz=6]sp=0 ruling out slots (6 and 17)
196 6 [196,sz=6]sp=0 ruling out slots (7 and 8)
197 6 [197,sz=6]sp=0 ruling out slots (7 and 9)
198 6 [198,sz=6]sp=0 ruling out slots (7 and 10)
199 6 [199,sz=6]sp=0 ruling out slots (7 and 11)
200 6 [200,sz=6]sp=0 ruling out slots (7 and 12)
201 6 [201,sz=6]sp=0 ruling out slots (7 and 13)
202 6 [202,sz=6]sp=0 ruling out slots (7 and 14)
203 6 [203,sz=6]sp=0 ruling out slots (7 and 15)
204 6 [204,sz=6]sp=0 ruling out slots (7 and 16)
205 6 [205,sz=6]sp=0 ruling out slots (7 and 17)
206 6 [206,sz=6]sp=0 ruling out slots (7 and 18)
207 6 [207,sz=6]sp=0 ruling out slots (8 and 9)
208 6 [208,sz=6]sp=0 ruling out slots (8 and 10)
209 6 [209,sz=6]sp=0 ruling out slots (8 and 11)
210 6 [210,sz=6]sp=0 ruling out slots (8 and 12)
211 6 [211,sz=6]sp=0 ruling out slots (8 and 13)
212 6 [212,sz=6]sp=0 ruling out slots (8 and 14)
213 6 [213,sz=6]sp=0 ruling out slots (8 and 15)
214 6 [214,sz=6]sp=0 ruling out slots (8 and 16)
215 6 [215,sz=6]sp=0 ruling out slots (8 and 17)
216 6 [216,sz=6]sp=0 ruling out slots (8 and 18)
217 6 [217,sz=6]sp=0 ruling out slots (8 and 19)
218 6 [218,sz=6]sp=0 ruling out slots (9 and 10)
219 6 [219,sz=6]sp=0 ruling out slots (9 and 11)
220 6 [220,sz=6]sp=0 ruling out slots (9 and 12)
221 6 [221,sz=6]sp=0 ruling out slots (9 and 13)
222 6 [222,sz=6]sp=0 ruling out slots (9 and 14)
223 6 [223,sz=6]sp=0 ruling out slots (9 and 15)
224 6 [224,sz=6]sp=0 ruling out slots (9 and 16)
225 6 [225,sz=6]sp=0 ruling out slots (9 and 17)
226 6 [226,sz=6]sp=0 ruling out slots (9 and 18)
227 6 [227,sz=6]sp=0 ruling out slots (9 and 19)
228 6 [228,sz=6]sp=0 ruling out slots (9 and 20)
229 6 [229,sz=6]sp=0 ruling out slots (10 and 11)
230 6 [230,sz=6]sp=0 ruling out slots (10 and 12)
231 6 [231,sz=6]sp=0 ruling out slots (10 and 13)
232 6 [232,sz=6]sp=0 ruling out slots (10 and 14)
233 6 [233,sz=6]sp=0 ruling out slots (10 and 15)
234 6 [234,sz=6]sp=0 ruling out slots (10 and 16)
235 6 [235,sz=6]sp=0 ruling out slots (10 and 17)
236 6 [236,sz=6]sp=0 ruling out slots (10 and 18)
237 6 [237,sz=6]sp=0 ruling out slots (10 and 19)
238 6 [238,sz=6]sp=0 ruling out slots (10 and 20)
239 6 [239,sz=6]sp=0 ruling out slots (10 and 21)
240 6 [240,sz=6]sp=0 ruling out slots (11 and 12)
241 6 [241,sz=6]sp=0 ruling out slots (11 and 13)
242 6 [242,sz=6]sp=0 ruling out slots (11 and 14)
243 6 [243,sz=6]sp=0 ruling out slots (11 and 15)
244 6 [244,sz=6]sp=0 ruling out slots (11 and 16)
245 6 [245,sz=6]sp=0 ruling out slots (11 and 17)
246 6 [246,sz=6]sp=0 ruling out slots (11 and 18)
247 6 [247,sz=6]sp=0 ruling out slots (11 and 19)
248 6 [248,sz=6]sp=0 ruling out slots (11 and 20)
249 6 [249,sz=6]sp=0 ruling out slots (11 and 21)
250 6 [250,sz=6]sp=0 ruling out slots (11 and 22)
251 6 [251,sz=6]sp=0 ruling out slots (12 and 13)
252 6 [252,sz=6]sp=0 ruling out slots (12 and 14)
253 6 [253,sz=6]sp=0 ruling out slots (12 and 15)
254 6 [254,sz=6]sp=0 ruling out slots (12 and 16)
255 6 [255,sz=6]sp=0 ruling out slots (12 and 17)
256 6 [256,sz=6]sp=0 ruling out slots (12 and 18)
257 6 [257,sz=6]sp=0 ruling out slots (12 and 19)
258 6 [258,sz=6]sp=0 ruling out slots (12 and 20)
259 6 [259,sz=6]sp=0 ruling out slots (12 and 21)
260 6 [260,sz=6]sp=0 ruling out slots (12 and 22)
261 6 [261,sz=6]sp=0 ruling out slots (12 and 23)
262 6 [262,sz=6]sp=0 ruling out slots (13 and 14)
263 6 [263,sz=6]sp=0 ruling out slots (13 and 15)
264 6 [264,sz=6]sp=0 ruling out slots (13 and 16)
265 6 [265,sz=6]sp=0 ruling out slots (13 and 17)
266 6 [266,sz=6]sp=0 ruling out slots (13 and 18)
267 6 [267,sz=6]sp=0 ruling out slots (13 and 19)
268 6 [268,sz=6]sp=0 ruling out slots (13 and 20)
269 6 [269,sz=6]sp=0 ruling out slots (13 and 21)
270 6 [270,sz=6]sp=0 ruling out slots (13 and 22)
