 PMRO ULV, PMRO LV, PMRO SV, Worst case Vmin 1.3125GHZ
473,428,334,690
478,419,329,692
470,417,327,690
481,423,323,686
470,417,326,682
491,428,337,686
505,441,340,668
474,431,332,694
479,426,333,700
492,439,337,678
445,391,311,698
494,428,333,678
490,431,332,678
485,426,333,678
492,433,339,676
481,423,328,686
494,432,337,680
503,432,342,670
488,425,334,684
504,433,340,674
496,429,335,668
494,434,339,680
480,422,335,684
477,430,336,698
490,431,336,682
482,416,328,684
485,426,330,664
506,447,343,680
479,422,329,690
492,435,337,678
490,427,338,666
484,430,338,676
507,437,343,684
511,433,344,682
450,404,319,678
469,415,329,672
469,422,334,660
454,408,321,676
465,409,325,670
446,402,314,696
459,411,324,676
461,419,323,670
464,407,323,676
472,417,334,670
471,421,331,664
451,407,317,696
458,405,325,686
473,425,334,668
468,419,326,676
452,413,329,670
468,421,331,666
481,429,339,674
474,428,345,670
453,408,318,694
458,403,315,676
463,416,325,674
487,439,339,662
481,421,339,676
478,425,337,676
477,429,343,678
464,420,330,670
476,420,334,678
474,425,340,680
466,417,332,666
486,433,340,666
481,431,339,666
478,427,339,666
492,430,342,660
486,435,342,672
490,432,339,676
485,431,343,666
477,427,338,662
469,421,333,664
468,425,338,662
479,431,341,674
482,431,345,672
472,429,341,664
468,426,330,676
462,414,328,678
469,417,333,682
462,410,320,676
456,402,314,674
472,427,339,682
484,430,340,660
487,434,350,680
471,423,335,676
480,437,339,678
466,417,326,676
481,427,337,670
401,363,294,708
474,423,332,664
477,434,341,684
465,413,328,682
477,424,332,668
463,411,324,682
465,430,337,686
473,427,334,678
478,420,333,668
475,420,329,688
476,423,329,670
484,428,338,678
454,411,327,682
476,427,332,686
476,422,334,700
493,433,342,664
471,428,342,672
498,440,352,670
471,413,328,690
477,416,324,666
472,418,333,680
488,430,344,678
477,423,335,668
424,387,309,702
497,430,348,678
489,438,342,668
478,430,339,678
472,420,336,688
490,432,344,690
484,433,339,672
491,441,346,672
475,422,333,682
493,431,344,672
482,425,334,664
492,432,348,680
498,437,352,674
498,431,338,674
486,429,342,686
487,432,345,672
475,427,336,674
474,429,342,690
499,440,350,674
474,424,340,678
487,424,340,674
483,429,329,688
459,416,325,698
470,426,339,696
466,427,338,674
469,424,328,680
484,427,342,674
492,444,350,658
397,364,292,718
468,419,324,690
461,423,335,692
466,415,332,676
461,404,322,688
477,421,332,670
447,414,323,688
459,421,330,700
481,420,328,692
467,416,328,670
457,404,317,672
459,421,330,676
472,424,328,684
445,409,324,698
469,413,323,690
477,432,332,688
458,420,335,698
476,426,338,684
387,356,290,724
475,420,336,688
491,442,346,662
472,422,331,692
414,381,302,704
478,415,334,698
464,415,324,694
457,417,329,682
469,424,333,702
482,434,344,682
460,416,329,692
460,414,330,688
472,424,334,668
480,428,336,680
465,423,334,694
468,421,337,694
465,417,328,670
459,410,330,704
457,418,327,696
464,416,328,702
464,416,331,702
470,417,331,682
465,408,324,676
474,416,326,692
475,424,335,688
482,426,335,690
516,435,344,682
468,412,326,686
479,417,333,680
476,435,343,672
469,424,333,698
465,417,324,682
476,426,339,682
463,417,322,678
471,418,328,690
482,432,337,684
474,420,330,688
470,419,326,678
473,420,327,690
471,429,341,672
475,421,336,688
477,429,334,692
465,423,337,682
486,435,341,672
493,435,347,680
501,452,354,664
411,375,301,696
461,412,321,684
481,430,342,680
480,422,335,684
487,436,342,674
485,429,343,684
474,429,339,676
480,427,340,678
491,435,347,680
484,432,339,682
490,429,345,672
491,430,347,678
471,424,340,680
484,431,340,666
478,428,343,682
483,435,345,684
474,418,333,686
468,423,333,672
490,435,344,684
486,431,344,676
478,427,339,682
473,429,338,688
478,437,341,676
471,414,327,696
487,421,333,680
482,428,332,674
474,422,324,688
467,410,322,698
472,419,334,678
478,422,328,686
478,425,337,696
466,426,332,682
477,421,326,684
474,435,342,692
494,432,335,674
470,416,326,684
476,426,338,682
486,430,337,684
460,420,339,690
489,424,333,672
480,421,328,692
490,433,344,684
474,431,344,684
475,416,325,696
477,437,339,702
495,448,347,684
483,420,330,682
489,432,338,668
489,432,337,684
478,429,338,688
488,429,335,684
487,429,341,682
481,429,339,680
476,423,337,680
467,420,339,676
485,432,337,666
488,434,335,684
492,437,341,696
485,428,334,674
475,420,336,680
474,426,340,698
485,433,340,682
491,433,348,684
477,428,338,688
483,433,340,680
468,430,342,694
475,422,327,690
472,424,335,692
496,434,348,680
478,421,328,684
493,442,342,680
494,436,348,688
481,433,344,680
481,421,337,692
484,420,332,682
484,428,336,688
480,424,334,680
467,419,328,678
491,427,336,682
466,410,324,686
483,421,332,690
486,425,327,698
483,427,336,678
484,431,344,684
485,427,333,690
481,421,327,706
466,419,331,706
460,415,323,686
495,434,338,680
492,427,332,692
484,423,333,678
474,420,327,694
491,441,349,670
465,411,323,694
495,421,333,692
429,380,305,714
463,408,321,696
500,433,341,680
448,395,315,694
477,420,331,682
501,438,341,682
484,424,338,684
504,442,347,686
487,426,337,674
492,431,342,676
508,430,344,676
505,442,341,678
500,436,346,686
497,437,344,680
503,438,344,676
496,435,346,686
490,429,342,692
483,426,337,682
501,432,345,686
480,429,342,694
477,427,336,686
506,439,350,680
511,455,351,670
502,434,343,682
492,431,339,682
527,444,351,684
482,439,342,696
470,418,332,678
482,433,343,678
475,428,337,670
479,429,338,680
469,426,334,680
477,427,337,666
467,430,343,682
478,430,340,676
472,430,333,692
477,427,336,682
466,423,336,672
478,434,341,670
451,421,335,688
475,427,339,668
469,431,338,680
464,426,334,670
492,458,356,664
483,429,337,684
478,431,345,670
485,438,346,682
482,424,335,674
496,448,353,664
484,436,342,674
410,379,305,710
484,435,349,674
493,444,353,666
481,433,344,668
486,442,348,678
481,433,340,686
487,440,350,680
500,449,353,666
463,426,341,682
489,440,346,678
487,440,345,676
487,437,347,680
490,443,353,684
490,443,349,672
485,440,347,680
478,436,344,676
470,425,343,680
481,432,349,674
484,437,349,672
469,431,343,680
464,420,329,686
467,422,332,682
479,426,337,676
487,432,344,674
481,430,342,680
492,441,348,688
472,422,334,680
396,370,300,724
470,425,336,680
465,423,342,686
486,439,352,676
453,401,319,694
473,417,327,680
463,414,324,700
462,427,340,690
459,415,324,700
471,420,331,692
463,414,328,684
467,421,335,674
471,429,342,686
466,424,334,692
462,409,323,684
482,425,335,676
488,427,335,694
453,417,332,682
472,419,330,696
491,435,341,680
467,419,329,692
493,446,347,676
480,429,337,684
474,427,337,698
471,418,328,688
493,439,342,698
485,430,340,678
436,401,320,698
483,425,337,684
477,424,331,692
488,436,339,694
475,422,340,674
471,426,338,682
502,445,346,670
475,423,332,676
471,420,337,678
476,428,337,682
488,430,346,686
475,430,341,686
488,434,344,676
484,432,344,682
484,433,341,682
472,427,339,688
479,429,338,682
485,432,348,678
465,424,340,694
471,412,327,696
461,409,322,686
489,433,345,682
399,364,296,722
477,421,331,676
474,427,345,674
467,414,327,682
463,406,323,676
467,422,337,674
464,411,324,682
466,428,338,678
479,423,332,668
469,428,342,676
475,427,338,680
489,429,338,686
474,431,347,676
482,420,329,684
408,370,300,714
487,428,343,670
477,411,324,684
481,423,329,674
419,386,309,696
485,433,345,678
491,432,345,678
483,426,336,680
488,434,340,672
482,426,339,682
483,432,344,680
478,427,339,672
476,426,343,666
480,429,342,668
482,436,349,674
491,437,349,674
487,426,343,672
489,437,346,678
484,432,342,676
482,437,344,672
476,427,343,678
464,410,325,678
475,418,328,670
471,423,334,668
470,414,327,670
467,418,325,684
486,429,337,680
474,419,333,684
488,428,341,688
485,431,348,684
500,439,353,668
