Module Name,Unit,Block Name,Ports,Inferred Type,Freq[Mhz],Lines,Width,Protection,Total Signature Bits,Write Segment Size,Instantiations,Init,Interleaving,Protection Resolution,Write Segment W/O Signature Size,Width W/O Signature,Type,Words|Number of Rules, Bits/Word,Bit Enable|Slice Enable,Folded,Column Mux,Redundancy,Rows,Columns,Total Instances,Name
mem_cm_misc_shell_8x64,cm_misc,action,1r1w,FLOPS,1225,8,72,ECC,8,72,16,No,1,64,64,64,FLOPS,8,,0,0,0,0,1,1,1,
mem_cur_segptr_shell_512x24,cur_segptr,mce,1r1w,RF,1225,512,30,ECC,6,30,1,No,1,24,24,24,RF,512,,0,0,0,0,1,1,1,
mem_egr_tag_buf_ram_shell_192x48,egr_tag_buf_ram,egr,1r1w,RF,1225,192,48,None,0,48,512,No,1,,48,48,RF,192,,0,0,0,0,1,1,1,
mem_em_a_delay_fifo_shell_34x256,em_a_delay_fifo,class_gpa,1r1w,RF,1225,34,288,ECC,32,288,4,No,1,64,256,256,RF,34,,0,0,0,0,1,1,1,
mem_em_a_hash_cfg_shell_64x53,em_a_hash_cfg,class_gpa,1r1w,FLOPS,1225,64,60,ECC,7,60,1,No,1,53,53,53,FLOPS,64,,0,0,0,0,1,1,1,
mem_em_a_hash_lookup_shell_49152x72,em_a_hash_lookup,class_gpa,1rw,SRAM,1225,49152,80,ECC,8,80,1,No,1,72,72,72,SRAM,49152,,0,0,0,0,1,1,1,
mem_em_a_hash_miss_shell_64x128,em_a_hash_miss,class_gpa,1r1w,RF,1225,64,144,ECC,16,144,1,No,1,64,128,128,RF,64,,0,0,0,0,1,1,1,
mem_em_a_key_mask_shell_64x64,em_a_key_mask,class_gpa,1r1w,RF,1225,64,72,ECC,8,72,3,No,1,64,64,64,RF,64,,0,0,0,0,1,1,1,
mem_em_b_hash_cfg_shell_64x53,em_b_hash_cfg,class_gpb,1r1w,FLOPS,1225,64,60,ECC,7,60,1,No,1,53,53,53,FLOPS,64,,0,0,0,0,1,1,1,
mem_em_b_hash_lookup_shell_8192x72,em_b_hash_lookup,class_gpb,1rw,SRAM,1225,8192,80,ECC,8,80,1,No,1,72,72,72,SRAM,8192,,0,0,0,0,1,1,1,
mem_em_b_hash_miss_shell_64x128,em_b_hash_miss,class_gpb,1r1w,RF,1225,64,144,ECC,16,144,1,No,1,64,128,128,RF,64,,0,0,0,0,1,1,1,
mem_em_b_key_mask_shell_64x64,em_b_key_mask,class_gpb,1r1w,RF,1225,64,72,ECC,8,72,1,No,1,64,64,64,RF,64,,0,0,0,0,1,1,1,
mem_gm_egress_mst_table_shell_4096x64,gm_egress_mst_table,action,1rw,SRAM,1225,4096,72,ECC,8,72,5,No,1,64,64,64,SRAM,4096,,0,0,0,0,1,1,1,
mem_gm_egress_vid_cfg_shell_4096x64,gm_egress_vid_cfg,action,1rw,SRAM,1225,4096,72,ECC,8,72,1,No,1,64,64,64,SRAM,4096,,0,0,0,0,1,1,1,
mem_gm_egress_vid_table_shell_4096x64,gm_egress_vid_table,action,1rw,SRAM,1225,4096,72,ECC,8,72,5,No,1,64,64,64,SRAM,4096,,0,0,0,0,1,1,1,
mem_gm_glort_dest_table_shell_4096x64,gm_glort_dest_table,action,1rw,SRAM,1225,4096,72,ECC,8,72,5,No,1,64,64,64,SRAM,4096,,0,0,0,0,1,1,1,
mem_gm_glort_direct_map_ctrl_shell_1x64,gm_glort_direct_map_ctrl,action,1r1w,FLOPS,1225,1,72,ECC,8,72,1,No,1,64,64,64,FLOPS,1,,0,0,0,0,1,1,1,
mem_gm_glort_direct_map_dst0_shell_1x64,gm_glort_direct_map_dst0,action,1r1w,FLOPS,1225,1,72,ECC,8,72,1,No,1,64,64,64,FLOPS,1,,0,0,0,0,1,1,1,
mem_gm_glort_direct_map_dst1_shell_1x64,gm_glort_direct_map_dst1,action,1r1w,FLOPS,1225,1,72,ECC,8,72,1,No,1,64,64,64,FLOPS,1,,0,0,0,0,1,1,1,
mem_gm_glort_direct_map_dst2_shell_1x64,gm_glort_direct_map_dst2,action,1r1w,FLOPS,1225,1,72,ECC,8,72,1,No,1,64,64,64,FLOPS,1,,0,0,0,0,1,1,1,
mem_gm_glort_direct_map_dst3_shell_1x64,gm_glort_direct_map_dst3,action,1r1w,FLOPS,1225,1,72,ECC,8,72,1,No,1,64,64,64,FLOPS,1,,0,0,0,0,1,1,1,
mem_gm_glort_direct_map_dst4_shell_1x64,gm_glort_direct_map_dst4,action,1r1w,FLOPS,1225,1,72,ECC,8,72,1,No,1,64,64,64,FLOPS,1,,0,0,0,0,1,1,1,
mem_gm_glort_ram_shell_1024x64,gm_glort_ram,action,1rw,SRAM,1225,1024,72,ECC,8,72,1,No,1,64,64,64,SRAM,1024,,0,0,0,0,1,1,1,
mem_gm_ingress_mst_table_shell_4096x64,gm_ingress_mst_table,action,1rw,SRAM,1225,4096,72,ECC,8,72,1,No,1,64,64,64,SRAM,4096,,0,0,0,0,1,1,1,
mem_group_table_shell_4096x257,group_table,mce,1rw,SRAM,1225,4096,267,ECC,10,267,4,No,1,257,257,257,SRAM,4096,,0,0,0,0,1,1,1,
mem_hash_entropy_hash_cfg0_shell_64x64,hash_entropy_hash_cfg0,action,1r1w,RF,1225,64,72,ECC,8,72,3,No,1,64,64,64,RF,64,,0,0,0,0,1,1,1,
mem_hash_entropy_hash_cfg1_shell_64x64,hash_entropy_hash_cfg1,action,1r1w,RF,1225,64,72,ECC,8,72,3,No,1,64,64,64,RF,64,,0,0,0,0,1,1,1,
